['6', 'Heat (1995)', 'Action|Crime|Thriller'] 4.72667383324
['3833', "Brain That Wouldn't Die, The (1962)", 'Horror|Sci-Fi'] 3.38366471469
['3834', 'Bronco Billy (1980)', 'Adventure|Drama|Romance'] 3.67181406534
['3836', "Kelly's Heroes (1970)", 'Action|Comedy|War'] 4.75728376231
['3841', 'Air America (1990)', 'Action|Comedy'] 3.60285238976
['3848', 'Silent Fall (1994)', 'Drama|Thriller'] 3.94795042898
['3863', 'Cell, The (2000)', 'Sci-Fi|Thriller'] 4.10934860527
['3864', 'Godzilla 2000 (Gojira ni-sen mireniamu) (1999)', 'Action|Adventure|Sci-Fi'] 3.54025812129
['3877', 'Supergirl (1984)', 'Action|Adventure|Fantasy'] 2.86992845096
['3879', 'Art of War, The (2000)', 'Action'] 3.6326726512
['3889', 'Highlander: Endgame (2000)', 'Action|Adventure|Fantasy'] 3.26276524379
['3898', 'Bait (2000)', 'Action|Comedy'] 3.58128376231
['3923', 'Return of the Fly (1959)', 'Horror|Sci-Fi'] 3.4248735059
['3926', 'Voyage to the Bottom of the Sea (1961)', 'Adventure|Sci-Fi'] 4.20906154009
['3927', 'Fantastic Voyage (1966)', 'Adventure|Sci-Fi'] 4.42841019909
['3931', 'Giant Gila Monster, The (1959)', 'Horror|Sci-Fi'] 2.88498746602
['3932', 'Invisible Man, The (1933)', 'Horror|Sci-Fi'] 4.59795042898
['3933', 'Killer Shrews, The (1959)', 'Horror|Sci-Fi'] 3.09795042898
['3936', 'Phantom of the Opera, The (1943)', 'Drama|Thriller'] 4.57116471469
['3937', 'Runaway (1984)', 'Sci-Fi|Thriller'] 3.78869116972
['3946', 'Get Carter (2000)', 'Action|Drama|Thriller'] 3.10795042898
['3952', 'Contender, The (2000)', 'Drama|Thriller'] 4.62887826403
